DATE,Peer Average,Rockford
2010-01-01,2.6,6.6
2010-03-01,1.5,4.3
2010-06-01,1,4.1
2010-10-01,0.4,3.1
2011-01-01,0.9,3.4
2011-03-01,0.2,2.2
2011-06-01,0.6,3.4
2011-10-01,0.3,2.9
2012-01-01,0.6,3.1
2012-03-01,0,2.2
2012-06-01,0.3,2.3
2012-10-01,0.4,2.5
2013-01-01,1.3,3.6
2013-03-01,0.9,2.6
2013-06-01,1.2,3.1
2013-10-01,1,3.1
2014-01-01,1.1,3.5
2014-03-01,0.5,1.9
2014-06-01,0.3,1.7
2014-10-01,0.1,1.3
2015-01-01,0.6,1.8
2015-03-01,0.1,1
2015-06-01,0.4,2
2015-10-01,0.5,2
2016-01-01,1.2,2.6
2016-03-01,0.6,1.4
2016-06-01,0.7,1.6
2016-10-01,0.7,1.4
2017-01-01,1.6,4.6
2017-03-01,0.6,1.8
2017-06-01,0.6,1.1
2017-10-01,0.5,0.9
2018-01-01,0.9,1.6
2018-03-01,0.7,1
2018-06-01,0.7,1.4
2018-10-01,1,3
2019-01-01,1,2.4
2019-03-01,0.5,1.2
2019-06-01,0.8,1.9
2019-10-01,0.5,1.1
2020-01-01,1.1,2.1
2020-03-01,2.3,6.7
2020-06-01,1,3.3
2020-10-01,-0.5,0.9
2021-01-01,0.8,3.4